index,value
2667,21
2668,14
2669,18
2670,4
2671,13
2672,17
2673,2
2674,30
2675,4
2676,17
2677,25
2678,6
2679,22
2680,8
2681,17
2682,15
2683,14
2684,18
2685,8
2686,29
2687,7
2688,26
2689,26
2690,4
2691,29
2692,11
2693,18
2694,30
2695,0
2696,17
2697,15
2698,22
2699,0
2700,8
2701,21
2702,7
2703,26
2704,0
2705,28
2706,31
2707,3
2708,26
2709,12
2710,20
2711,11
2712,11
2713,22
2714,12
2715,24
2716,3
2717,31
2718,31
2719,0
2720,28
2721,7
2722,19
2723,9
2724,4
2725,20
2726,11
2727,19
2728,5
2729,28
2730,16
2731,11
2732,31
2733,5
2734,24
2735,10
2736,7
2737,31
2738,9
2739,16
2740,14
2741,31
2742,19
2743,9
2744,20
2745,2
2746,27
2747,5
2748,5
2749,24
2750,2
2751,23
2752,13
2753,17
2754,16
2755,14
2756,23
2757,9
2758,25
2759,6
2760,14
2761,26
2762,1
2763,29
2764,14
2765,18
2766,26
2767,13
2768,21
2769,10
2770,22
2771,4
2772,9
2773,17
2774,6
2775,30
2776,0
2777,17
2778,29
2779,6
2780,18
2781,8
2782,21
2783,15
2784,10
2785,18
2786,12
2787,29
2788,3
2789,26
2790,30
2791,4
2792,25
2793,11
2794,22
2795,8
2796,0
2797,21
2798,15
2799,18
2800,0
2801,28
2802,21
2803,3
2804,26
2805,4
2806,28
2807,11
2808,3
2809,30
2810,12
2811,16
2812,11
2813,31
2814,22
2815,8
2816,24
2817,7
2818,31
2819,27
2820,4
2821,28
2822,3
2823,19
2824,13
2825,4
2826,16
2827,11
2828,23
2829,5
2830,24
2831,2
2832,15
2833,31
2834,1
2835,24
2836,14
2837,23
2838,27
2839,9
2840,20
2841,14
2842,27
2843,23
2844,13
2845,16
2846,2
2847,31
2848,5
2849,1
2850,24
2851,6
2852,23
2853,9
2854,17
2855,30
2856,14
2857,19
2858,9
2859,29
2860,6
2861,10
2862,27
2863,5
2864,29
2865,10
2866,18
2867,30
2868,1
2869,17
2870,14
2871,22
2872,0
2873,9
2874,21
2875,6
2876,26
2877,0
2878,21
2879,29
2880,2
2881,26
2882,12
2883,21
2884,11
2885,10
2886,22
2887,12
2888,25
2889,3
2890,30
2891,30
2892,0
2893,29
2894,7
2895,18
2896,8
2897,4
2898,21
2899,11
2900,18
2901,4
2902,28
2903,17
2904,3
2905,30
2906,4
2907,24
2908,11
2909,7
2910,30
2911,8
2912,16
2913,15
2914,31
2915,18
2916,8
2917,20
2918,3
2919,27
2920,4
2921,4
2922,24
2923,3
2924,23
2925,12
2926,16
2927,16
2928,15
2929,23
2930,8
2931,24
2932,6
2933,15
2934,27
2935,1
2936,28
2937,14
2938,19
2939,27
2940,13
2941,16
2942,10
2943,23
2944,5
2945,9
2946,16
2947,6
2948,31
2949,1
2950,17
2951,28
2952,6
2953,19
2954,9
2955,21
2956,14
2957,10
2958,19
2959,13
2960,29
2961,2
2962,26
2963,31
2964,5
2965,25
2966,6
2967,22
2968,9
2969,1
2970,21
2971,14
2972,18
2973,1
2974,29
2975,21
2976,2
2977,26
2978,5
2979,29
2980,11
2981,2
2982,30
2983,12
2984,17
2985,11
2986,30
2987,22
2988,8
2989,25
2990,7
2991,26
2992,0
2993,4
2994,29
